generation,best,mean,mean_fitness_G,mean_fitness_D,mean_env_reward,mean_target_reward,elapsed_s,time_budget_s,device,population_kind
0,1.1755,0.4728,0.4716,0.0012,16.0156,200.0,2.752,8.0,cuda,static
1,1.1815,0.6434,0.5254,0.118,13.5469,200.0,3.115,8.0,cuda,static
2,1.0542,0.7386,0.5649,0.1738,15.7031,200.0,3.43,8.0,cuda,static
3,1.2179,0.796,0.5721,0.2239,16.9219,200.0,3.741,8.0,cuda,static
4,1.2774,0.7005,0.4458,0.2547,14.1875,200.0,4.046,8.0,cuda,static
5,1.083,0.8087,0.4951,0.3137,27.25,200.0,4.365,8.0,cuda,static
6,1.0848,0.824,0.5048,0.3192,29.1094,200.0,4.677,8.0,cuda,static
7,1.1408,0.853,0.5653,0.2876,41.75,200.0,5.043,8.0,cuda,static
8,1.164,0.8643,0.6243,0.24,47.4531,200.0,5.463,8.0,cuda,static
9,1.1572,0.8594,0.638,0.2215,51.0781,200.0,5.874,8.0,cuda,static
10,1.1529,0.8539,0.6646,0.1893,53.3438,200.0,6.289,8.0,cuda,static
11,1.2083,0.8824,0.7125,0.1699,52.125,200.0,6.705,8.0,cuda,static
12,1.162,0.8199,0.667,0.1529,58.7031,200.0,7.162,8.0,cuda,static
13,1.1823,0.8964,0.7257,0.1707,63.5625,200.0,7.647,8.0,cuda,static
14,1.209,0.8398,0.6822,0.1576,57.75,124.0,8.016,8.0,cuda,static
